year,word,frequency
1960,anchoveta,0.035105
1960,bonito,0.330092
1960,hake,0.573614
1960,mackerel,1.275527
1960,sardine,2.238223
1961,anchoveta,0.036016
1961,bonito,0.317642
1961,hake,0.573274
1961,mackerel,1.24392
1961,sardine,2.103442
1962,anchoveta,0.039942
1962,bonito,0.311909
1962,hake,0.589941
1962,mackerel,1.221068
1962,sardine,1.938811
1963,anchoveta,0.04607
1963,bonito,0.310588
1963,hake,0.628215
1963,mackerel,1.202522
1963,sardine,1.770456
1964,anchoveta,0.051477
1964,bonito,0.308606
1964,hake,0.68363
1964,mackerel,1.182759
1964,sardine,1.614705
1965,anchoveta,0.052145
1965,bonito,0.301478
1965,hake,0.74357
1965,mackerel,1.161389
1965,sardine,1.480435
1966,anchoveta,0.047355
1966,bonito,0.289261
1966,hake,0.793113
1966,mackerel,1.144111
1966,sardine,1.374254
1967,anchoveta,0.041482
1967,bonito,0.276655
1967,hake,0.825445
1967,mackerel,1.141698
1967,sardine,1.302029
1968,anchoveta,0.038909
1968,bonito,0.268718
1968,hake,0.845417
1968,mackerel,1.162007
1968,sardine,1.262029
1969,anchoveta,0.039615
1969,bonito,0.267433
1969,hake,0.861245
1969,mackerel,1.202877
1969,sardine,1.242872
1970,anchoveta,0.041518
1970,bonito,0.271272
1970,hake,0.87387
1970,mackerel,1.248749
1970,sardine,1.229563
1971,anchoveta,0.043456
1971,bonito,0.276175
1971,hake,0.877072
1971,mackerel,1.279135
1971,sardine,1.208063
1972,anchoveta,0.044637
1972,bonito,0.278642
1972,hake,0.867867
1972,mackerel,1.286865
1972,sardine,1.172748
1973,anchoveta,0.043967
1973,bonito,0.276731
1973,hake,0.853062
1973,mackerel,1.285377
1973,sardine,1.12789
1974,anchoveta,0.040922
1974,bonito,0.27066
1974,hake,0.845572
1974,mackerel,1.298164
1974,sardine,1.083241
1975,anchoveta,0.036623
1975,bonito,0.262543
1975,hake,0.852932
1975,mackerel,1.336849
1975,sardine,1.046754
1976,anchoveta,0.033012
1976,bonito,0.256053
1976,hake,0.87246
1976,mackerel,1.39381
1976,sardine,1.021172
1977,anchoveta,0.030522
1977,bonito,0.254491
1977,hake,0.892566
1977,mackerel,1.450483
1977,sardine,1.006012
1978,anchoveta,0.028671
1978,bonito,0.258019
1978,hake,0.900264
1978,mackerel,1.489583
1978,sardine,1.000341
1979,anchoveta,0.028409
1979,bonito,0.263719
1979,hake,0.88962
1979,mackerel,1.503195
1979,sardine,1.003446
1980,anchoveta,0.030451
1980,bonito,0.268444
1980,hake,0.862524
1980,mackerel,1.491634
1980,sardine,1.012622
1981,anchoveta,0.033062
1981,bonito,0.271616
1981,hake,0.825872
1981,mackerel,1.463349
1981,sardine,1.025048
1982,anchoveta,0.034284
1982,bonito,0.274302
1982,hake,0.789502
1982,mackerel,1.429084
1982,sardine,1.040194
1983,anchoveta,0.03349
1983,bonito,0.276855
1983,hake,0.761972
1983,mackerel,1.395956
1983,sardine,1.058481
1984,anchoveta,0.030807
1984,bonito,0.278277
1984,hake,0.746603
1984,mackerel,1.364011
1984,sardine,1.077896
1985,anchoveta,0.027847
1985,bonito,0.277737
1985,hake,0.738821
1985,mackerel,1.330828
1985,sardine,1.093921
1986,anchoveta,0.026984
1986,bonito,0.275749
1986,hake,0.730225
1986,mackerel,1.296591
1986,sardine,1.102977
1987,anchoveta,0.02825
1987,bonito,0.273266
1987,hake,0.715003
1987,mackerel,1.262981
1987,sardine,1.104415
1988,anchoveta,0.029217
1988,bonito,0.271087
1988,hake,0.694174
1988,mackerel,1.232109
1988,sardine,1.098614
1989,anchoveta,0.027864
1989,bonito,0.269752
1989,hake,0.6723
1989,mackerel,1.205509
1989,sardine,1.085779
1990,anchoveta,0.024598
1990,bonito,0.269213
1990,hake,0.653442
1990,mackerel,1.184396
1990,sardine,1.067062
